Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
CloudFront Field-level encryption,,-,-,,-,,,,,"The profile name can have up to 128 characters. Valid characters: A-Z, a-z, 0-9, and _ -",,,,,daniel,
Global Accelerator,,AWS::GlobalAccelerator::Accelerator,Name,,,"Required: Yes
Type: String
Maximum: 64
Update requires: No interruption",,,,"Enter only letters, numbers or hyphens (-) with no spaces.",,,,,daniel,
Private 5G Networks,,-,-,,-,,,,,"The field network name can have up 64 characters. Valid characters: a-z, A-Z, 0-9, and - (hyphen). You cannot change the network name after you create it.",,,,,daniel,
Route53 Hosted zones,,AWS::Route53::HostedZone,Name,,,"Required: No
Type: String
Maximum: 1024
Update requires: Replacement",,,,"Valid characters: a-z, 0-9, ! "" # $ % & ' ( ) * + , - / : ; < = > ? @ [ \ ] ^ _ ` { | } . ~",,,,,daniel,
Route53 Inbound Endpoint,,-,-,,-,,,,,"The endpoint name can have up to 64 characters. Valid characters: a-z, A-Z, 0-9, space, _ (underscore), and - (hyphen)",,,,,daniel,
Route53 Outbound Endpoint,,-,-,,-,,,,,"The endpoint name can have up to 64 characters. Valid characters: a-z, A-Z, 0-9, space, _ (underscore), and - (hyphen)",,,,,daniel,
Route53 Rule,,-,-,,-,,,,,"The rule name can have up to 64 characters. Valid characters: a-z, A-Z, 0-9, space, _ (underscore), and - (hyphen)",,,,,daniel,
Route53 Rule Group,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, -(hyphen), and _(underscore).",,,,,daniel,
Route53 Query Logging,,-,-,,-,,,,,"The name can have up to 64 characters. Valid characters: A-Z, a-z, 0-9, space, _ (underscore) and - (hyphen)",,,,,daniel,
Route53 Application Recovery Controller Cluster,,AWS::Route53RecoveryControl::Cluster,Name,,,"Name of the cluster. You can use any non-white space character in the name.
Required: No
Type: String
Update requires: Replacement",,,,"Name can contain only letters, numbers, underscores (_), or dashes (-).",,,,,daniel,
Route53 Application Recovery Controller Routing Control,,AWS::Route53RecoveryControl::RoutingControl,Name,,,"The name of the routing control. You can use any non-white space character in the name.
Required: Yes
Type: String
Update requires: No interruption",,,,"Enter only letters, numbers, with no spaces.",,,,,daniel,
Route53 Application Recovery Controller Routing Control Panel,,AWS::Route53RecoveryControl::ControlPanel,Name,,,"Required: No
Type: String
Update requires: Replacement",,,,"Enter only letters or numbers, with no spaces.",,,,,daniel,
Route53 Application Recovery Controller Recovery Group,,AWS::Route53RecoveryReadiness::RecoveryGroup,RecoveryGroupName,,,"Required: No
Type: String
Update requires: Replacement",,,,"Enter only letters, numbers, underscores (_), or dashes (-), with no spaces.",,,,,daniel,
Route53 Application Recovery Controller Readiness Check,,AWS::Route53RecoveryReadiness::ReadinessCheck,ReadinessCheckName,,,"Required: No
Type: String
Update requires: Replacement",,,,"Enter only letters or numbers, with no spaces.",,,,,daniel,
VPC DNS Firewall Rule Group,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, -(hyphen), and _(underscore).",,,,,daniel,
VPC DNS Firewall Domain List,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, -(hyphen), and _(underscore).",,,,,daniel,
VPC Firewall,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: a-z, A-Z, 0-9 and -(hyphen). The name can’t start or end with a hyphen, and it can’t contain two consecutive hyphens.",,,,,daniel,
VPC Firewall Policy,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: a-z, A-Z, 0-9 and -(hyphen). The name can’t start or end with a hyphen, and it can’t contain two consecutive hyphens.",,,,,daniel,
VPC Firewall Rule Group,,-,-,,-,,,,,"The name must have 1-128 characters. Valid characters: a-z, A-Z, 0-9 and -(hyphen). The name can’t start or end with a hyphen, and it can’t contain two consecutive hyphens.",,,,,daniel,
Amazon Braket Notebooks,,-,-,,-,,,,,"Maximum of 49 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
AWS RoboMaker Robot Application,,AWS::RoboMaker::RobotApplication,Name,,[a-zA-Z0-9_\-]*,,,,,"Must be between 1 and 255 characters. Valid characters are a-z, A-Z, 0-9, - (hyphen), and _ (underscore). No spaces.",,,,,daniel,
WAF Web ACL,,AWS::WAFv2::WebACL,Name,,^[\w\-]+$,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, - (hyphen), and _ (underscore).",,,,,daniel,
WAF IP Sets,,AWS::WAFv2::IPSet,Name,,^[\w\-]+$,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, - (hyphen), and _ (underscore).",,,,,daniel,
WAF Rule Group,,AWS::WAFv2::RuleGroup,Name,,^[\w\-]+$,,,,,"The name must have 1-128 characters. Valid characters: A-Z, a-z, 0-9, - (hyphen), and _ (underscore).",,,,,daniel,
IAM User Group,,AWS::IAM::Group,GroupName,,,"The group name must be unique within the account. Group names are not distinguished by case. For example, you cannot create groups named both ""ADMINS"" and ""admins"". If you don't specify a name, AWS CloudFormation generates a unique physical ID and uses that ID for the group name.",,,,"Maximum 128 characters. Use alphanumeric and '+=,.@-_' characters.",,,,,daniel,
IAM Identity Provider,,-,-,,-,,,,,Maximum 128 characters. Use alphanumeric or '._-' characters.,,,,,daniel,
AWS Signer Signing Profiles,,AWS::Signer::SigningProfile,PlatformId,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"Profile name must contain from 2 to 64 characters. Valid characters are lowercase a-z, uppercase A-Z, 0-9, and _ (underscore).",,,,,daniel,
AWS Backup Backup Vault,,AWS::Backup::BackupVault,BackupVaultName,,"^[a-zA-Z0-9\-\_]{2,50}$",,,,,Backup vault name is case sensitive. Must contain from 2 to 50 alphanumeric or '-_' characters.,,,,,daniel,
AWS Backup Backup Plan,,AWS::Backup::BackupPlan,BackupPlan,,,"Required: Yes
Type: BackupPlanResourceType
Update requires: No interruption",,,,Backup plan name is case sensitive. Must contain from 1 to 50 alphanumeric or '-_.' characters.,,,,,daniel,
AWS Backup Hypervisor,,-,-,,-,,,,,"Hypervisor name can have up to 100 characters. Valid characters are a-z, A-Z, 0-9, and - (hyphen). It can't be changed after creation.",,,,,daniel,
EFS File System,,AWS::EFS::FileSystem,-,,-,,,,,"Name can include letters, numbers, and +-=._:/ symbols, up to 256 characters.",,,,,daniel,
EFS Access Point,,AWS::EFS::AccessPoint,FileSystemId,,"^(arn:aws[-a-z]*:elasticfilesystem:[0-9a-z-:]+:file-system/fs-[0-9a-f]{8,40}|fs-[0-9a-f]{8,40})$",,,,,"Name can include letters, numbers, and +-=._:/ symbols, up to 256 characters.",,,,,daniel,
FSx Caches,,-,-,,-,,,,,"Maximum of 256 Unicode letters, whitespace, and numbers, plus + - = . _ : /",,,,,daniel,
FSx Storage Virtual Machine,,AWS::FSx::StorageVirtualMachine,Name,,"^[^\u0000\u0085\u2028\u2029\r\n]{1,47}$",,,,,"Maximum of 47 alphanumeric characters, plus . - _ . Must begin with a letter or underscore",,,,,daniel,
FSx Snapshot,,AWS::FSx::Snapshot,Name,,"^[a-zA-Z0-9_:.-]{1,203}$",,,,,"Maximum of 203 alphanumeric characters, plus _ - : .",,,,,daniel,
S3 Object Lambda Access Points,,AWS::S3ObjectLambda::AccessPoint,Name,,,"Required: No
Type: String
Update requires: Replacement",,,,"Must be unique within a single AWS account and Region, comply with DNS naming restrictions, must begin with a number or lowercase letter, must be between 3 and 50 characters long, can't begin or end with a hyphen (-), can't contain underscores (_), uppercase letters, or periods (.), can't end with the suffix -s3alias. This suffix is reserved for access point alias names.",,,,,daniel,
S3 Storage Lens Dashboard,,-,-,,-,,,,,Dashboard name must be fewer than 65 characters and must not contain special characters or spaces. You will not be able to change this after the dashboard has been created.,,,,,daniel,
S3 Glacier Vaults,,-,-,,-,,,,,"The vault name can be up to 255 characters, and must be unique within the account and the AWS Region. Allowed characters are a-z, A-Z, 0-9, '_' (underscore), '-' (hyphen), and '.' (period).",,,,,daniel,
Storage Gateway Gateway,,-,-,,-,,,,,The name must be between 2 and 255 characters and cannot include a slash ( or /).,,,,,daniel,
Storage Gateway Pools,,-,-,,-,,,,,Between 2 and 100 characters in length.,,,,,daniel,
Storage Gateway Hardware Gateway,,-,-,,-,,,,,The name must be between 2 and 255 characters and cannot include a slash ( or /).,,,,,daniel,
