Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
ElastiCache Redis Cluster,,AWS::ElastiCache::CacheCluster,ClusterName,,,"The name must contain 1 to 50 alphanumeric characters or hyphens. The name must start with a letter and cannot end with a hyphen or contain two consecutive hyphens.
Required: No
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 40 characters and must not contain spaces.",,,,,daniel,
ElastiCache Global Datastore,,AWS::ElastiCache::GlobalReplicationGroup,CacheParameterGroupName,,,"The name of the cache parameter group to use with the Global datastore. It must be compatible with the major engine version used by the Global datastore.
Required: No
Type: String
Update requires: No interruption",,,,"The name is required, can have up to 40 characters and must not contain spaces.",,,,,daniel,
ElastiCache Memcached,,-,-,,-,,,,,"The name is required, can have up to 40 characters and must not contain spaces.",,,,,daniel,
ElastiCache Subnet Group,,AWS::ElastiCache::SubnetGroup,-,,-,,,,,"The name is required, can have up to 255 characters and must not contain spaces.",,,,,daniel,
ElastiCache Parameter Group,,AWS::ElastiCache::ParameterGroup,-,,-,,,,,"The name is required, can have up to 255 characters and must not contain spaces.",,,,,daniel,
ElastiCache User,,AWS::ElastiCache::User,UserId,,[a-zA-Z][a-zA-Z0-9\-]*,,,,,"The ID is required, can have up to 40 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen).",,,,,daniel,
ElastiCache User Group,,AWS::ElastiCache::UserGroup,UserGroupId,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The ID is required, can have up to 40 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and - (hyphen).",,,,,daniel,
MemoryDB Redis Cluster,,AWS::MemoryDB::Cluster,ClusterName,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 40 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen)",,,,,daniel,
MemoryDB Redis User,,AWS::MemoryDB::User,UserName,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 40 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen)",,,,,daniel,
MemoryDB Redis ACL,,AWS::MemoryDB::ACL,ACLName,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 40 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen)",,,,,daniel,
MemoryDB Redis Subnet Group,,AWS::MemoryDB::SubnetGroup,SubnetGroupName ,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 255 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen)",,,,,daniel,
MemoryDB Redis Parameter Group,,AWS::MemoryDB::ParameterGroup,ParameterGroupName,,,"Required: Yes
Type: String
Update requires: Replacement",,,,"The name is required, can have up to 255 characters, and must begin with a letter. It should not end with a hyphen or contain two consecutive hyphens. Valid characters: A-Z, a-z, 0-9, and -(hyphen)",,,,,daniel,
Neptune Database,,AWS::Neptune::DBCluster,DBClusterIdentifier,,,"Required: No
Type: String
Update requires: Replacement",,,,"The name must be unique cross all DB clusters owned by your AWS account in the current AWS Region. The DB cluster identifier is case-insensitive, but is stored as all lowercase (as in ""mydbcluster""). Constraints: 1 to 60 alphanumeric characters or hyphens. First character must be a letter. Can't contain two consecutive hyphens. Can't end with a hyphen.",,,,,daniel,
Neptune Notebooks,,-,-,,-,,,,,"Names may only contain letters (A-Z), numbers (0-9), or hyphens (-).",,,,,daniel,
Neptune Subnet Group,,AWS::Neptune::DBSubnetGroup,DBSubnetGroupName,,,"Required: No
Type: String
Update requires: Replacement",,,,"You won't be able to modify the name after your subnet group has been created. Must contain from 1 to 255 characters. Alphanumeric characters, spaces, hyphens, underscores, and periods are allowed.",,,,,daniel,
QLDB Ledger,,AWS::QLDB::Ledger,Name,,(?!^.*--)(?!^[0-9]+$)(?!^-)(?!.*-$)^[A-Za-z0-9-]+$,,,,,"Specify a name that is unique for all ledgers owned by your AWS account in the current Region. The ledger name must contain from 1 to 32 alphanumeric characters or hyphens, with at least one non-numeric character.",,,,,daniel,
QLDB Stream,,AWS::QLDB::Stream,StreamName,,(?!^.*--)(?!^[0-9]+$)(?!^-)(?!.*-$)^[A-Za-z0-9-]+$,,,,,"Specify a name that is unique among all active streams for a given ledger. The stream name must contain from 1 to 32 alphanumeric characters or hyphens, with at least one non-numeric character.",,,,,daniel,
Timestream Database,,AWS::Timestream::Database,DatabaseName,,,"Length Constraints: Minimum length of 3 bytes. Maximum length of 256 bytes.
Required: No
Type: String
Update requires: Replacement",,,,"Must be between 3 and 256 characters long. Must contain letters, digits, dashes, periods or underscores. Specify a name that is unique for all Timestream databases in your AWS account in the current Region. You can not change this name once you create it.",,,,,daniel,
Timestream Table,,AWS::Timestream::Table,DatabaseName,,,"Length Constraints: Minimum length of 3 bytes. Maximum length of 256 bytes.
Required: Yes
Type: String
Update requires: Replacement",,,,"Must be between 3 and 256 characters long. Must contain letters, digits, dashes, periods or underscores. Specify a name that is unique for all Timestream databases in your AWS account in the current Region. You can not change this name once you create it.",,,,,daniel,
CloudWatch Dashboard,,AWS::CloudWatch::Dashboard,DashboardName ,,,"The name of the dashboard. The name must be between 1 and 255 characters. If you do not specify a name, one will be generated automatically.
Required: No
Type: String
Update requires: Replacement",,,,"Valid characters in dashboard names include ""0-9A-Za-z-_"".",,,,,daniel,
Maintenance Window,,-,-,,-,,,,,"It has to be between 3 and 128 characters. Valid characters contain the following: a-z, A-Z, 0-9, and ._-",,,,,daniel,
Patch Manager Patch Baseline,,-,-,,-,,,,,"You can use letters, numbers, periods, dashes, and underscores in the name.",,,,,daniel,
Cloud9 Environment,,AWS::Cloud9::EnvironmentEC2,Name,,,"Required: No
Type: String
Update requires: No interruption",,,,"Limit of 60 characters, alphanumeric, and unique per user.",,,,,daniel,
CodeBuild Create Project,,AWS::CodeBuild::Project,Name,,"[A-Za-z0-9][A-Za-z0-9\-_]{1,254}",,,,,"A project name must be 2 to 255 characters. It can include the letters A-Z and a-z, the numbers 0-9, and the special characters - and _.",,,,,daniel,
CodeCommit REpository,,AWS::CodeCommit::Repository,RepositoryName,,[\w\.-]+,,,,,100 characters maximum. Other limits apply.,,,,,daniel,
